pdb_id,classification,method
5aav,SIGNALING PROTEIN,X-RAY DIFFRACTION
1vc4,LYASE,X-RAY DIFFRACTION
2g5f,BIOSYNTHETIC PROTEIN,X-RAY DIFFRACTION
2hb7,GENE REGULATION,X-RAY DIFFRACTION
2hi4,OXIDOREDUCTASE,X-RAY DIFFRACTION
6j3n,NUCLEAR PROTEIN,X-RAY DIFFRACTION
6xc0,HYDROLASE,X-RAY DIFFRACTION
1aq2,KINASE,X-RAY DIFFRACTION
5dlw,HYDROLASE,X-RAY DIFFRACTION
5med,OXIDOREDUCTASE,X-RAY DIFFRACTION
3l03,TRANSCRIPTION,X-RAY DIFFRACTION
4drn,ISOMERASE,X-RAY DIFFRACTION
5j5k,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
2gkj,ISOMERASE,X-RAY DIFFRACTION
7vb1,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
3ppt,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
6cgz,HYDROLASE,X-RAY DIFFRACTION
1n2b,LIGASE,X-RAY DIFFRACTION
5hua,ISOMERASE,X-RAY DIFFRACTION
1nu4,RNA BINDING PROTEIN,X-RAY DIFFRACTION
6fyj,OXIDOREDUCTASE,X-RAY DIFFRACTION
2ipg,OXIDOREDUCTASE,X-RAY DIFFRACTION
3nhi,TRANSPORT PROTEIN,X-RAY DIFFRACTION
5u4b,TRANSPORT PROTEIN,X-RAY DIFFRACTION
4q2l,TRANSPORT PROTEIN,X-RAY DIFFRACTION
7ccw,TRANSFERASE,X-RAY DIFFRACTION
8eq5,TRANSFERASE,X-RAY DIFFRACTION
4gqq,HYDROLASE/HYDROLASE INHIBITOR,X-RAY DIFFRACTION
6q0y,TRANSFERASE,X-RAY DIFFRACTION
7cy0,HYDROLASE,X-RAY DIFFRACTION
4gh0,LIPID TRANSPORT,X-RAY DIFFRACTION
1jtv,OXIDOREDUCTASE,X-RAY DIFFRACTION
5ax1,PROTON TRANSPORT,X-RAY DIFFRACTION
7w9j,OXIDOREDUCTASE,X-RAY DIFFRACTION
8abw,LYASE,X-RAY DIFFRACTION
6ghh,TRANSPORT PROTEIN,X-RAY DIFFRACTION
3szj,Biotin-binding protein,X-RAY DIFFRACTION
2xpw,TRANSCRIPTION,X-RAY DIFFRACTION
8jdu,OXIDOREDUCTASE,X-RAY DIFFRACTION
3m4a,Isomerase/DNA,X-RAY DIFFRACTION
2d5y,TRANSFERASE,X-RAY DIFFRACTION
3dsk,LYASE,X-RAY DIFFRACTION
5fy7,TRANSFERASE,X-RAY DIFFRACTION
3r9b,OXIDOREDUCTASE,X-RAY DIFFRACTION
3cza,UNKNOWN FUNCTION,X-RAY DIFFRACTION
1kt6,TRANSPORT PROTEIN,X-RAY DIFFRACTION
2qhs,TRANSFERASE,X-RAY DIFFRACTION
3tvq,TRANSFERASE,X-RAY DIFFRACTION
3yas,LYASE,X-RAY DIFFRACTION
4pns,TRANSFERASE,X-RAY DIFFRACTION
2puv,TRANSFERASE,X-RAY DIFFRACTION
5iby,"LIGASE,TRANSFERASE",X-RAY DIFFRACTION
6d17,HYDROLASE/HYDROLASE inhibitor,X-RAY DIFFRACTION
3atq,OXIDOREDUCTASE,X-RAY DIFFRACTION
6d6m,signaling protein/agonist,X-RAY DIFFRACTION
7rji,TOXIN,X-RAY DIFFRACTION
4drk,ISOMERASE,X-RAY DIFFRACTION
7cip,HYDROLASE,X-RAY DIFFRACTION
3imv,HORMONE,X-RAY DIFFRACTION
3oll,HORMONE RECEPTOR/ACTIVATOR,X-RAY DIFFRACTION
6qli,TRANSFERASE,X-RAY DIFFRACTION
4h8e,TRANSFERASE/TRANSFERASE INHIBITOR,X-RAY DIFFRACTION
7ebu,TRANSFERASE,X-RAY DIFFRACTION
5kts,TRANSFERASE,X-RAY DIFFRACTION
1a8b,CALCIUM BINDING PROTEIN,X-RAY DIFFRACTION
4qzt,PROTEIN BINDING,X-RAY DIFFRACTION
6hl1,NUCLEAR PROTEIN,X-RAY DIFFRACTION
6xok,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
6ga7,MEMBRANE PROTEIN,X-RAY DIFFRACTION
